Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,eccentricity,earthFlux,equilTemp,stellarEffTemp,stellarRadius,stellarMass,luminosity,stLogSurfaceGrav,
HD 219134 c,HD 219134,0,0.06466,,3.55968,0.16,,,4817.14,0.76,0.79,,4.57,
Kepler-10 b,Kepler-10,0,,1.489,3.57,,,,5708,1.07,0.91,,4.34,
HD 85512 b,HD 85512,0,0.26,,3.6,0.11,,298,4715,,0.69,,4.39,
Kepler-105 c,Kepler-105,0,,1.6,3.6,,,,,,0.9,,,
HD 40307 f,HD 40307,0,0.2485,,3.63,0.352,,,4977,,0.77,,4.47,
pi Men c,HD 39091,0,,,3.63,0,,,5998,1.19,1.07,,,
Kepler-307 c,Kepler-307,0,,2.2,3.64,,44,,5367,0.81,0.91,,,
GJ 9827 b,GJ 9827,0,0.0206,1.58,3.69,,256,1114,4219,0.62,0.64,,4.66,
Kepler-51 b,Kepler-51,0,,6.89,3.69,0.03,,,5670,0.88,0.98,,4.7,
HD 21749 c,GJ 143,0,0.0695,0.892,3.7,,,701,4640,0.69,0.73,-0.686,4.61,
Kepler-60 b,Kepler-60,0,,1.6,3.7,,,,,,1,,,
Kepler-80 d,Kepler-80,0,,1.3,3.7,,,,,,0.6,,,
GJ 667 C c,GJ 667 C,0,0.125,,3.709,0.133,,,3650,,,,,
Kepler-10 b,Kepler-10,0,0.01685,1.47,3.72,,,,5708,1.06,0.91,0.002,4.34,
G 264-012 c,G 264-012,0,0.0525,,3.75,,3.87,387,3326,0.3,0.3,-1.972,4.85,
Kepler-101 c,Kepler-101,0,0.0684,1.25,3.78,0,,1413,5667,1.56,1.17,,4.12,
TOI-1685 b,TOI-1685,0,,1.7,3.78,,217,1069,3434,0.49,0.49,-1.519,4.85,
GJ 667 C c,GJ 667 C,0,0.125,,3.8,0.02,,,3350,,0.33,-1.863,4.69,
Kepler-102 d,Kepler-102,0,,1.18,3.8,,,,4903,0.74,0.8,,4.61,
Kepler-107 d,Kepler-107,0,0.08377,0.86,3.8,0,,1173,5854,1.45,1.24,,4.21,
Kepler-60 d,Kepler-60,0,0.10548,,3.8,0.0151,,,5883,1.47,1.07,0.369,4.13,
Kepler-93 b,Kepler-93,0,,1.478,3.8,,,1037,5669,0.92,0.91,,4.47,
HD 40307 b,HD 40307,0,0.0475,,3.81,0.168,,,4977,,0.77,,4.47,
HD 219134 b,HD 219134,0,0.038474,,3.81396,0,,,4913,0.77,0.79,-0.509,4.51,
Kepler-138 c,Kepler-138,0,,1.61,3.83,0.05,,,3871,0.54,0.57,,4.73,
Kepler-36 b,Kepler-36,0,,1.498,3.83,0,247,,5979,1.63,1.03,,4.1,
Kepler-60 c,Kepler-60,0,,1.9,3.85,,236,,5905,1.26,1.04,,,
